time,api_name,credit,credit_before_api_call,ip,request_line,rescode
2014-10-29  15:13:55,calcol,738.15,739.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:55,calcol,736.65,738.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:55,calcol,735.15,736.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:55,calcol,733.65,735.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:55,calcol,732.15,733.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:55,calcol,730.65,732.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:56,calcol,729.15,730.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:56,calcol,727.65,729.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:56,calcol,726.15,727.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:56,calcol,724.65,726.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:56,calcol,723.15,724.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:19:46,calcol,721.65,723.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:19:47,calcol,720.15,721.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:19:47,calcol,718.65,720.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:19:47,calcol,717.15,718.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:19:47,calcol,715.65,717.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:19:48,calcol,714.15,715.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:19:48,calcol,712.65,714.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:21:05,calcol,711.15,712.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:21:29,calcol,709.65,711.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:22:12,calcol,708.15,709.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:22:34,calcol,706.65,708.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:23:09,calcol,705.15,706.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:26:17,calcol,703.65,705.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
